File Name,Type,Creator,Comments,Category,Extension,Dup,"Data by Ilan Szekely, Jerusalem"
????—Star position file,STAR,HARP,HarpStars,  , , ,
????—StartUp Screen,SCRN,WDGT, ,Startup Screen,,,
????—Sum Of Years Method,IFM1,CD24,Form Finder,  , , ,
????—SW Hyphenation,WDHY,LSVH,,,, ,
????—SW Spelling,SACM,LSVS,,,, ,
????—SW Thesaurus,MSTH,LSVT,,,, ,
????—Swedish Dictionary,HMSD,LSVS,,,, ,
????—Swedish Hyphenation,HMHD,LSVH,,,, ,
????—Swedish Thesaurus,MSTF,LSVT,,,, ,
????—TeacherAssign.DLL,shlb,MFC_,,Shared Library,, ,
????—Test File,TEXT,Eprt,EfiColor,Text File,TXT, ,
????—Text Document,TEXT,Ttxt, ,Text,,,
????—Text File,TEXT,πe0 , ,Text File,TXT, ,
????—TEXT File,TEXT,Anon, ,Text File,TXT, ,
????—Text File,TEXT,CRE2,Multi-Ad Creator,Text File,TXT, ,
????—Text File,TEXT,CYBO, ,Text File,TXT, ,
????—Text File,TEXT,LTLK, ,Text File,TXT, ,
????—Text File,TEXT,REFR, ,Text File,TXT, ,
????—Text File,TEXT,tefi, ,Text File,TXT, ,
????—Text File,TEXT,WVTX, ,Text,,,
????—Textension_Temp,none,Zaky,,, , ,
????—THINK C Translator,TRAN,LSC◊, ,THINK C, , ,
????—THINK C Translator,TRAN,REZ◊, ,THINK C, , ,
????—THINK C Translator,TRAN,RSC◊, ,THINK C, , ,
????—TIFF File,TIFF,Anon, ,Graphics TIFF,TIF, ,
????—TIFF File,TIFF,OICR, ,Graphics TIFF,TIF, ,
????—TIFF File,TIFF,SHRP, ,Graphics TIFF,TIF, ,
????—Tileset,TiLE,Oreo, ,  , , ,
????—TimeOuts,QMTV,CETO, ,  , , ,
????—TLIC,4D06,4D06,4D Runtime, , , ,
????—TrueType Font,FFIL,LMfd,DTC FontDirector,Font suitcase, , ,
????—TrueType Font,FFIL,Zn&S, ,Font suitcase, , ,
????—TrueType Font,FFIL,Zn&T, ,Font suitcase, , ,
????—utility_word.JPG,70P ,H@ ,,,, ,
????—VirtualPrinter,DXTN,DAG0,,Printer Description,, ,
????—Voice File,DATA,FRBY, ,Data File, , ,
????—Watermark,DXTN,aLAP,,Printer Description,, ,
????—WAV FIle,K__W,K__W, ,Sound WAV,WAV, ,
????—WAV File,K__W,K_AW,Apple Media Kit,Sound WAV,WAV, ,
???Researcher,APPL,LiM1, ,Application, , ,
?0.314b,APPL,HTNA, ,Application, , ,
………Scout's Honour,INIT,FDG9, ,INIT,,,
……INIT Tracker 1.2,INIT,INTR, ,INIT,,,
…Conflict Catcher™,cdev,çç20, ,Control Device,,,
…Conflict Extension™,INIT,çé20, ,INIT,,,
…MaxAppleZoom,cdev,NaOH, ,Control Device,,,
…Microsoft Excel,MSCF,MSSU,Installation d'Excel,  , , ,
…Microsoft Project,MSCF,Mpsu,Project Setup,  , , ,
…Mode ?,INIT,M?23, ,INIT,,,
…PRG,TEXT,DMC3,dMac,Text File,TXT, ,
…Quadra 900,INIT,ACOT, ,INIT,,,
…SAM Intercept,INIT,VGrd,,INIT, , ,
…Updates…,TEXT,PRLG,Open Prolog,Text File,TXT, ,
.Caf,INIT,caf!,,INIT, , ,
.Café,INIT,caf!, ,INIT,,,
.lud/VTA,data,APMK,Le Catalogue,Data File, , ,
.MacPrefectExtension,XNIT,Lck , ,  , , ,
.MoV,MooV,tDEs, ,QuickTime Movie,MOV, ,
.sff,TEXT,RTRC,RTrace,Text File,TXT, ,
.sim,SIML,TRAC,TRACON //,  , , ,
.SKT,.SKT,Skat,SKAT 4,  , , ,
.TIF to TIFF,APPL,.tif, ,Application, , ,
.π,MMPR,MPPS, ,  , , ,
'Nother FKEY,FKEY,nthr, ,Fkey, , ,
’bot Arena 1.0.2,APPL,’bAr, ,Application, , ,
’bot Arena—Zap.bot,’b.O,’bAr,’bot Arena,  , , ,
’bot Developer 1.0.10,*CMD,*Men,OtherMenu,(Conflict?), , ,
’bot Developer 1.0.11,*Mem,*Men,OtherMenu,(Conflict?), , ,
’bot Developer 1.0.12,*Prf,*Men,OtherMenu,(Conflict?), , ,
’bot Developer 1.0.13,*FMT,*MF*,’bot Developer,  , , ,
’bot Developer 1.0.14,*TFM,*MF*,’bot Developer,  , , ,
’bot Developer 1.0.15,APPL,*MF*,’bot Developer,Application, , ,
’bot Developer 1.0.16,TEXT,*MF*,’bot Developer,Text File,TXT, ,
’bot Developer 1.0.17,APPL,*PM*,’bot Developer,Application, , ,
’bot Developer 1.0.18,PMLV,*PM*,’bot Developer,  , , ,
’bot Developer 1.0.19,PMOT,*PM*,,Pref/Dup, ,Dup,
’bot Developer 1.0.2,APPL,’bDv, ,Application, , ,
’bot Developer 1.0.20,PMSP,*PM*,’bot Developer,  , , ,
’bot Developer 1.0.21,FFIL,*TEX,Textures™,Font suitcase, , ,
’bot Developer 1.0.22,APPL,*XET, ,Application, , ,
’bot Developer 1.0.23,APPL,*XeT, ,Application, , ,
’bot Developer 1.0.24,APPL,*zpg, ,Application, , ,
’bot Developer 1.0.25,imgz,*zpg,’bot Developer,  , , ,
’bot Developer 1.0.26- Landscapes,lndz,*zpg,’bot Developer,  , , ,
’bot Developer 1.0.27,scez,*zpg,’bot Developer,  , , ,
’bot Developer 1.0.28,shpz,*zpg,’bot Developer,  , , ,
’bot Developer 1.0.29,sndz,*zpg,’bot Developer,Sound, , ,
’bot Developer 1.0.4,*!*!,*!*!, ,  , , ,
’bot Developer 1.0.6,APPL,*DPM, ,Application, , ,
’bot Developer 1.0.7,APPL,*eA2, ,Application, , ,
’bot Developer 1.0.8,TEXT,*eA2,’bot Developer,Text File,TXT, ,
’bot Developer 1.0.9,APPL,*Gat, ,Application, , ,
’bot Developer—Text File,TEXT,’bDv,’bot Developer,Text File,TXT, ,
’MB BLZ.DAT,IMMB,BAUP, ,  , , ,
“xyz” Installation,kajr,kajr,Apple Installer file, ,,,
(NIH?) Image 1.35,APPL,IMAG,Application, ,,,
(PICT file from unknown application),PICT,Bozo,Giffer ,PICT,,,
[ ]—IRCAM sound file,IRCM,SDHK,SoundHack ,Sound, , ,
[ ]—Targa Image file,TPIC,Noah,Noah!™,Graphics TARGA,TGA, ,
[ Version],APPL,MWPT,?,Application, , ,
[ Version],APPL,MYMC,?,Application, , ,
[Anything] Help,HoW!,HoW?,Help on Wheels,Help, , ,
[Guided Tour],APPL,kaDD,?,Application, , ,
[TabManiaInfo], s },TabM,ZMac's TabMania,  , , ,
[Unidentified Creator]—Settings,TEXT,DKCE,,Text File,TXT, ,
[Unidentified Creator]—StickerDoc00000,SpDc,Spot,,,, ,
[Unidentified Creator]—Windows WAVE Format Sound File,WAVE,FCvs,,sound WAV,WAV, ,
][ in a Mac™,APPL,CAI1, ,Application, , ,
][ Info,INFO,CAI1,][ in a Mac™,  , , ,
][ Screen,PNTG,CAI1,][ in a Mac™,Graphics MacPaint,MPT, ,
][2Mac,APPL,AvG8, ,Application, , ,
{--,SRVD,PTM2,ProTERM,  , , ,
{From TechnoSys List}—Text File,TEXT,DMcp, ,Text File,TXT, ,
{Pause},INIT,PAUS,,INIT, , ,
¶DawnRestore,INIT,T   ,,INIT, , ,
¶DawnRestore™,INIT,DRTR,,INIT, , ,
@-time,APPL,@tim,Vincent Jalby,Application,,,
@enSERVER,APPL,MNT!, ,Application, , ,
@ResetPorts 1.0.0,APPL,aCom, ,Application, , ,
* Settings 1*,CSET,STMC,StudioMac™,  , , ,
**About these examples**,TEXT,ANVL,Anvil,Text File,TXT, ,
**Car-Pictures,Leov,BrN,Spinning Brain,  , , ,
*Apple Guide Collection,COLF,HLX2,Apple DocViewer,  , , ,
*Bouncing Ball,TEXT,PASC,Macintosh Pascal,Text File,TXT, ,
*CORTEX*,APPL,ABCX,,Application/Game,, ,
*HERMA Etikettenkatalog,Kata,HELM,Label Manager,  , , ,
*Herma Label Manager 1.0,APPL,HELM, ,Application, , ,
*Index,MPAx,MZp!,MacZPoint,  , , ,
*Leer,KRT_,KUJO,[German Office package?],  , , ,
*MultiDiff,APPL,DIFf, ,Application, , ,
*P*toDisk,INIT,P*2D,,INIT, , ,
*P*toDisk FKEY,FKEY,P*2D, ,Fkey, , ,
*TCL source.diff,DIFf,DIFf,*MultiDiff,  , , ,
/wl,TEXT,CMas,CrossMaster,Text File,TXT, ,
&BER-H1 Kapitel,TEXT,VCHP, ,Text File,TXT, ,
##ƒTCP Suchergebnis,TCPs,TCP2,TCP/Connect II,  , , ,
#1 FilledRectangle,IKET,LIKE,I Like Icon,  , , ,
#10 Envelope,TEXT,JHRM,,Text File/Dup,TXT,Dup,
† Default,AII2,RZ03, ,  , , ,
• Beschein. mit Bild,TaSy,tAst,Taste™,  , , ,
• Don't Read This! •,BWwp,BWks,BeagleWorks,  , , ,
• Restart,APPL,6.8U, ,Application, , ,
• Restart,dfil,rest, ,System 7 DA, , ,
• Serial Killer 2.1 •,cdev,ZZZZ, ,Control Panel, , ,
• Shut Down,dfil,shdo, ,System 7 DA, , ,
• Shutdown Items enabler,INIT,fsfx,,INIT, , ,
•A/V Control; v2.2™OTC),cdev,at!i, ,Control Panel, , ,
•AIM Promo,adrp,Osc2,PromoLanuncer,Alias to file, , ,
•Akua Sweets—????,WaLL,AkuS,•Akua Sweets,,, ,
•Akua Sweets—AppleScript Text File,TEXT,AkuS,•Akua Sweets,Text File,TXT, ,
•Akua Sweets—Compiled AppleScript,osax,AkuS,•Akua Sweets,Scripting Additions,, ,
•Akua Sweets—Installer File,bzy0,AkuS,•Akua Sweets,,, ,
•Akua Sweets—Installer File,bzy1,AkuS,•Akua Sweets,,, ,
•Akua Sweets—Shared Library,shlb,AkuS,•Akua Sweets,Shared Library,, ,
•ATGEdit,APPL,DTSM, ,Application, , ,
•Basic PowerPart•,CdSe,CdSn,CodeSampler,  , , ,
•BFD INIT,INIT,OhNo,,INIT, , ,
•BillMinder,cdev,INT2, ,Control Panel, , ,
•Bomb,•DPi,•Drw,Draw,  , , ,
•CoStar Driver,INIT,Star,,INIT, , ,
•CoStar Driver Prefs,Prf ,Star,•CoStar Driver,Pref, , ,
•CoStar Driver Prefs,Prf,Star,•CoStar Driver,Pref,,,
•CoStar Driver—Pages,PgSz,Star,•CoStar Driver,  , , ,
•CoStar Driver—Preferences,Prf ,Star,•CoStar Driver,Pref,,,
•CoStar Driver—Templates,Tmpl,Star,•CoStar Driver,  , , ,
•Curse•,APPL,TADR, ,Application, , ,
•Darkness,appe,DaMA, ,Background Only Application, , ,
•Date,APPL,AEDA, ,Application, , ,
•email Bug Report Form,sEXT,MMCC,Metrowerks Codewarrior,Stationary, , ,
•File Search Engine,APPL,FSEn, ,Application, , ,
•FMServer,ADBF,ADBM,dBASE Mac 1.1,  , , ,
•MountPC,cdev,MTPC,(conflict?),Control Panel, , ,
•MsgData,DESC,PBAD,Public Address,  , , ,
•MsgQScans,QSCN,PBAD,Public Address,  , , ,
•MsgText,MAIL,PBAD,Public Address,  , , ,
•MsgText,MTXT,PBAD,Public Address,  , , ,
•Password,cdev,PSWD, ,Control Panel, , ,
•Radius DSP,appe,WIPS, ,Background Only Application, , ,
•Radius DSP,INIT,WIPS,,INIT, , ,
•Thread info,THRD,PBAD,Public Address,  , , ,
•Time,APPL,AETI, ,Application, , ,
•TP2•TrashCacheHistory,µMat,µMI2,•TP2• TrashCache, , , ,
¯·≠Î˙· 1.821M,APPL,GM02,Application, ,,,
ˇFrontDoor v1.1.6,APPL,_FD_,Application, ,,,
°669 Plug,IMPL,SNPL,PlayerPRO,  , , ,
°AppleVision,INIT,avav,Apple™,INIT, , ,
°AppleVision / Audio Volume Extension,INIT,appl,,INIT, , ,
°Avid Cinema Extension,INIT,MORK,,INIT, , ,
°Higher Tek,INIT,~HTT,,INIT, , ,
°Remote,cdev,RRmt, ,Control Panel, , ,
°Remote,cdev,WRmt, ,Control Panel, , ,
©HOG JUICIN.snd,rsrc,AUDI,Audioshop™,Resource, , ,
©Writer,APPL,RIWI, ,Application, , ,
∆ 0.9ß8,APPL,MOoD, ,Application, , ,
∆î 0.9ß5,APPL,MOoD,Application, ,,,
∆J.key RSRC,RESS,RSED,ResEdit,  , , ,
∏° ClipClop 1.1,APPL,∏°CC, ,Application, , ,
∏° ClipClop—????,∏°Cp,∏°CC,∏° ClipClop, ,,,
∏° ClipClop—Graphics File,∏°CC,∏°CC,∏° ClipClop,  , , ,
∏° FileInfo,cdev,∏°FI, ,Control Panel, , ,
∏° TextTrap,cdev,∏°TT, ,Control Panel, , ,
∑ Chess 5—Custom Chessboard File,∑∑BRD,∑CHS,Chess 5,,,,
∑ Chess 5—Game File,∑GM5,∑CHS,Chess 5,,,,
∑ Chess 5—Game Library File,∑GC5,∑CHS,Chess 5,,,,
∑ Chess 5—Library File,∑LB5,∑CHS,Chess 5,,,,
∑ Chess 5—Plug-in,∑PST,∑CHS,Chess 5,,,,
∑ Chess 5—Search File,∑GCF,∑CHS,Chess 5,,,,
∑ Chess 5—Text File,TEXT,∑CHS,Chess 5,Text File,TXT,,
+32116.env,TEXT,XPLN,X-Plane,Text File,TXT, ,
ことえり,thng,koto,(Japanese),Extension, , ,
ことえり辞書ツール,APPL,jdtl, ,Application, , ,
±∆¶Ë≈Lº´è,dic1,jdtl,日本語入力,漢字Talk 7 (Japanese), , ,
ことえりユーザ辞書,dic2,jdtl,日本語入力,漢字Talk 7 (Japanese), , ,
ことえり基本辞書,dic0,jdtl,日本語入力,漢字Talk 7 (Japanese), , ,
ことえりヘルプ,help,koto,(Japanese),Help, , ,
<- Passwortschutz,appe,FiFx,FileFax,Background Only Application, , ,
<--- That Is It,APPL,that, ,Application, , ,
<<Student>>,APPL,xfer, ,Application, , ,
<connection document>,CLus,FCRi,LinkUPPP! MLP,  , , ,
<connection document>,CLus,PPd0,LinkUPPP!,  , , ,
<Example> ZoomAd!,APPL,Z00M, ,Application, , ,
<log file>,TEXT,FCRi,LinkUPPP! MLP,Text File,TXT, ,
<log file>,TEXT,PPd0,LinkUPPP!,Text File,TXT, ,
=> Metrowerks,APPL,jaf1, ,Application, , ,
¬êlèÓÒt@C,pref,koto,(Japanese),Pref, , ,
|Accordion,cdev,LTAD, ,Control Panel, , ,
|C|O|N|T|O|,APPL,4DCo, ,Application, , ,
|C|O|N|T|O| Prep,INIT,CONT,,INIT, , ,
|C|O|N|T|O|—Data File,data,4DCo,|C|O|N|T|O|,Data File, , ,
|C|O|N|T|O|—Formulare,CFor,4DCo,|C|O|N|T|O|,  , , ,
|C|O|N|T|O|Kontengruppen-SKR03,TEXT,4DCo,|C|O|N|T|O|,Text File,TXT, ,
|MS Mail,RDEV,MsMa, ,Chooser Device, , ,
|PandoMural,INIT,pMur,,INIT, , ,
|SpeedMenuInit,INIT,LNO1,,INIT, , ,
~~typePolish,cdev,JLTP, ,Control Panel, , ,
~Aaron,INIT,Aarn,,INIT, , ,
~AccessPC,cdev,AcPC, ,Control Panel, , ,
~AccessPC,TEXT,AcPC,~AccessPC,Text File,TXT, ,
~AccessPC Data,APCd,AcPC,~AccessPC,  , , ,
~Art+TypeVendor—Document,VEND,&v76,~Art+TypeVendor,  , , ,
~ATM 4.5,APPL,ATMC,Adobe Systems,Application, , ,
~ATM 4.5—øøøø,fmBM,ATMC,~ATM™, , , ,
~ATM 4.5—øøøø,fmCF,ATMC,~ATM™, , , ,
~ATM 4.5—øøøø,sfnt,ATMC,  , , , ,
~ATM 4.5—Preferences,fmPR,ATMC,~ATM™,Pref, , ,
~ATM 68020/030/040,ATMD,ATMC,~ATM™, ,,,
~ATM prefs,ATMD,ATMC,~ATM™,Pref, , ,
~ATM™ / ATM™ GX,cdev,ATMC, ,Control Device,,,
~ATM™—Font Preferences,Kato,ATMC,~ATM™,  , , ,
~ATM™—PostScript Font,LWFN,ATMC,~ATM™,PostScript font,PFB, ,
~AudioVision,INIT,telc,,INIT, , ,
~AutoDoublerSettings(2.0),ADDA,DDAP,DiskDoubler, ,,,
~AutoDoublerSettings™2.0),ADDA,DDAP,DiskDoubler,  , , ,
~BeingThere™ Extension,INIT,Kn03,,INIT, , ,
~BeView,INIT,BBox,,INIT, , ,
~CD Lock,cdev,TCDL, ,Control Panel, , ,
~ClippingNamer,INIT,Anam,,INIT, , ,
~Clubcode,INIT,&v37,,INIT, , ,
~Clubcode Issue 3,INIT,&v74,,INIT, , ,
~Clubcode Issue 3—Sales File,VEND,&v74,~Clubcode Issue 3,  , , ,
~Color QuickCam,INIT,CQCm,Connectix,INIT, , ,
~Cration Page de Garde,PRER,KKKS, ,Chooser Extension, , ,
~Création Page de Garde,PRER,KKKS, ,Chooser Extension,,,
~don't rest,APPL,xRST, ,Application, , ,
~E-Mosaic JPEG Patch,INIT,EMJP,,INIT, , ,
~Evolution of a Product,wsed,wse#,WSE Dual 68K/PPC,  , , ,
~FinderToFront,APPL,F1st, ,Application, , ,
~FinderToFront,APPL,MiN2, ,Application, , ,
~FixGamma,APPL,FG†ß, ,Application, , ,
~Font Porter™ 1.0,INIT,EZTP,,INIT, , ,
~FreePPP Menu,cdev,pppM, ,Control Panel, , ,
~FreePPP Menu,cdev,rsiM, ,Control Panel, , ,
~HyperBox,INIT,hbox,,INIT, , ,
~Interfax Control,cdev,cFAX, ,Control Panel, , ,
~Jambox Driver,IDvr,SJmb, ,  , , ,
~LaunchControl,INIT,Lsiz,,INIT, , ,
~Miles Apart Alias Enabler,INIT,MiIn,,INIT, , ,
~MiniWinDemo,INIT,WClr,,INIT, , ,
~Movie Movie™ Video Extension,thng,Wird, ,Extension, , ,
~MS Word TrueType™ Printer Init,INIT,LUI1,,INIT, , ,
~NetDoubler,cdev,Ndbl,Asant Technologies,Control Panel, , ,
~NetWare Aliases,INIT,NWAl,,INIT, , ,
~Note-it,INIT,N¬iA,,INIT, , ,
~PandoStickers INIT,INIT,pSti,,INIT, , ,
~Pause(68K),cdev,Pauz, ,Control Device,,,
~Pause™68K),cdev,Pauz, ,Control Panel, , ,
~QuickTime VM,INIT,QtVm,,INIT, , ,
~rest,APPL,REST,Application, ,,,
~Sim020,cdev,BK?!, ,Control Panel, , ,
~Snap Mail—Identity,EZ_I,GBEZ,Snap Mail,  , , ,
~Standard Interface Driver,IDvr,StdD, ,  , , ,
~StuffIt SpaceSaver™,cdev,SMKR, ,Control Panel, , ,
~Suitcase 8 MenuFonts_,APPC,DcMF,,Control Panels Application, , ,
~Suitcase 8 MenuFonts_—Font Defintions File,MFdt,DcMF,,, , ,
~Suitcase 8 MenuFonts_—Preferences,Pref,DcMF,,Pref, , ,
~Suitcase 8 MenuFonts*—Menu Data File,mfDt,mFnt,MacFont,, , ,
~Suitcase 8 MenuFonts™,cdev,mFnt,"Dubl-Click Software, Inc.",Control Panel,, ,
~Suitcase 9 MenuFonts™,APPC,mFnt,"Creativepro.com, Inc.",Control Panels Application,, ,
~Suitcase 9 MenuFonts™—Preferences,Pref,mFnt,Suitcase 9 MenuFonts™,Pref,, ,
~sysFont™,cdev,pb81, ,Control Panel, , ,
~UnDoIt!,appe,Undo, ,Background Only Application, , ,
≈ KiwiFinder INIT ≈,INIT,KFI1,,INIT, , ,
◊ That's My Name,APPL,NmeA, ,Application, , ,
◊CopyPaste-4.3.2,INIT,PHMS,,INIT, , ,
◊Delete-Log◊,LogF,Undl,Complete Undelete,  , , ,
◊iType 2.0.1,INIT,PHAT,,INIT,,,
◊QTAction,cdev,QTAc, ,Control Panel, , ,
◊SeibsANPA 2.1,bokD,booK,SeibsHandbuch,  , , ,
$,XCRY,SMZD,SUM Encrypt,  , , ,
$/Pop Chart,bnto,jedi,OpenDoc™,  , , ,
£aserControl,APPL,njea, ,Application, , ,
¥Speak Beep,cdev,SpkB, ,Control Panel, , ,
0.5 CHANGELOG,TEXT,Mrls,MacMarlais,Text File,TXT, ,
0.FAQ Macintosh- Dezember 95,TEXT,Styl, ,Text File,TXT, ,
0.PLT,pilt,xwng,X-Wing,Game,,,
0.Stickies,adrp,notz,Stickies,Alias to file, , ,
0.TEX,CODE,DrBk,Castle of Dr. Brain,  , , ,
0% downloaded file,bzy0,Woof,NetFinder,, , ,
00 leere bundesliga,TblE,Trk,HatTrick,  , , ,
00.LFL,.LFL,Indy,Indy™,  , , ,
00.LFL,.LFL,Loom,Loom™,  , , ,
000.clt,rawp,smEB,boogaloopers,Game, , ,
00000000.abt,TEXT,VTPC,Acrobat help,Text File,TXT, ,
0010one way howard,PICT,HYPP,Clickpoints,Graphics PICT,PIC, ,
002-Macintosh XL,rsrc,µmat,MacEKG ,Resource, , ,
00quit.dcr,FGDM,MD97,Director,  , , ,
01 - Binary Tree,TEXT,TiGA,TimGA 1.1,Text,,,
01 Alte Kartei bernehmen,UPDT,KUJO,[German Office package?],  , , ,
01 Easy Gest,MooV,MW√4,document,QuickTime Movie,,,
01 Schach - MacChess 1-0,PaRT,McCs,MacChess 2.0 EN,,,,
01 Schach- MacChess 1-0,PaRT,McCs,MacChess,  , , ,
01 Start,SQ2 ,EMOV,SpaceQuest 2,  , , ,
01-Abreise Zauberer,KQ3 ,EMO3,KingsQuest 3,  , , ,
01-Binary Tree,TEXT,TiGA,TimGA 1.1,Text File,TXT, ,
01-Rotkppchen,AGI1,KQ1 , ,  , , ,
0110 HTML Document,MFLT,MYRD,Internal Explorer,  , , ,
013083EA,MPTx,MZp!,MacZPoint,  , , ,
01B1P1.PIC,XXXX,xxxx,Unspecified Creator,  , , ,
01W,EM6F,EMA6,Emagic SoundDiver ,  , , ,
030/Mac+ Aid,cdev,STX1, ,Control Panel, , ,
04.04.1995,LOGS,PBAD,Public Address,  , , ,
040 VM Update,scri,tell,Apple Computer,Script/Extension, , ,
04S,SwaT,SHCK, ,  , , ,
05SM.PMT,wPMT,mOnO, ,  , , ,
09.gam,S1Gm,SYN1,MacSyndicate ,  , , ,
1 • DNA Shuffles,Gr∞v,MOUP,Digital Performer™,  , , ,
1 Channel Analyzer- w1,CNFG,gwS2,SoundScope ,Pref, , ,
1 Drawing,SPA ,FSPA,FutureSplash Animator,  , , ,
1 Hour Sleep Mode,TEXT,PTLK, ,Text File,TXT, ,
1 Infancy,MOD0,ALTE,Alter Ego,  , , ,
1 Month Text & Time,TMMN,LUKE,Rae Assist™ ,  , , ,
1 Page Flyer,SPUC,Spud,Scoop,  , , ,
1 Week,TMWK,LUKE,Rae Assist™ ,  , , ,
1- Open Chooser,DumP,AGgp, ,  , , ,
1-0. Pitch Notation,TEXT,GilT,Chords&Keys97,Text File,TXT, ,
1-2-3*Balloons,123F,L123,Lotus 1-2-3, ,,,
1-2-3*Help,123B,L123,Lotus 1-2-3, ,,,
1-4-4-8 Las Vegas,LSrg,LSrb,RiverBoat™,  , , ,
1-AutoCAD DXF,VLOD,VPUB,Ventura Publisher,  , , ,
1-Chair,ZMDF,Zmpr,ZOOM™,  , , ,
1-Column List.plg,L/o3,G&r∏,Font Gander Plug-in,  , , ,
1-D explorer FPU,APPL,GrFP, ,Application, , ,
1. Bundesliga,LIGF,LIGA,Liga,  , , ,
1. Bundesliga 97/98,VMSB,ttxt,SimpleText/TeachText,  , , ,
1. Hilfe,IMCo,IMCt,Media Cataloger,  , , ,
1. Playmates,KPk#,AtCt,Art Center,  , , ,
1. Scooter's Castle,KPn#,AtCt,Art Center,  , , ,
1. Simplified Chinese,mfnt,LHfl,Zafir,FONT, , ,
1. The Dihybrid Cross,SFRM,GNTC,Genetics.model,  , , ,
1. Train,KPt#,AtCt,Art Center,  , , ,
1. UND,SC1F,SC1A,SPS v1.2 MAC,  , , ,
1.Bear,KJpd,JgIt,Jigsaw-It!™,  , , ,
1.LE_,SDpa,SDsu,Setup,  , , ,
1.PAT,CODE,DEMk,Sierra ,  , , ,
1.PAT,CODE,LL5k,Leisure Suit Larry 5,  , , ,
1.Pat,CODE,QG1k,Quest For Glory,  , , ,
1.pat,CODE,SCIk,King's Quest V,  , , ,
1.pat,CODE,SCIs,Space Quest IV,  , , ,
1.Sound,CRPC,HYPP,Clickpoints,  , , ,
1/2_frame,TXGL,GSAC,ArchiCAD,  , , ,
1/Bullet,OAKT,OAKt,Action! Mac,  , , ,
10 Bayern 20.04.1994,TEXT,RedE, ,Text File,TXT, ,
10 color pallete,cccc,CAUT, ,  , , ,
10 High St. • Front Elevation,ORBD,ORBA,Jonathan,  , , ,
10 Pinsel,ChgP,ChgX,Chagall,  , , ,
10% downloaded file,bzy1,Woof,NetFinder,, , ,
1000 Miles,APPL,MIL1,  ,Application/Game, , ,
1003.bsf,ASHP,AIRW,AirWar,  , , ,
101-KEYS DA Remover,APPL,DBBR, ,Application, , ,
1024K C610/650;Q800/610ROM v4.0,ROM ,JSID,Identifikation,  , , ,
1040PC,APPL,aPc1, ,Application, , ,
10key Round Narrow,CCSW,CCS2,CCS 2.05,  , , ,
10TOUR,SPUD,SPU2, ,  , , ,
11sattlite.Roe,TEXT,EFDA,El-Fish,Text File,TXT, ,
12 Bar Blues in B,BANK,FrT,FretPet,  , , ,
12 Colors,ICOL,Ansl,Ansel,  , , ,
12 Colors,ICOL,IMAG,Image,  , , ,
12 ECP Artist,PARM,Drog,EasyColorPaint,  , , ,
12-String,AFxP,stCA,Cubase Score,  , , ,
1212 I/O,ndrv,1212,Korg Inc.,Extension-Driver,, ,
1212 I/O—Preferences,PREF,1212,,Pref,, ,
12pg. SW PB,ASig,PWi2,Aldus PressWise,  , , ,
13 expert-levels,LODE,GLEN, ,  , , ,
1304 Phrases,rsrc,MOSe,,Resource, ,Dup,
15 Gens then Frozen,PLab,PLIf,PolyLife ,  , , ,
153 Apple IP Gateway.PCD/EPS,EPSF,PhFl,PhotoFlash™,EPS,EPS, ,
1541 ROM,SROM,Frdo,Frodo,  , , ,
15vs30 Year Mortgage,APPL,BH28,Bent Tree Software,Application, , ,
16 Color,APPL,16co,Alan Watts,Application,,,
16 Color—PICT Format Graphics File,PICT,16co,16 Color,Graphics PICT,PIC,,
16 Color—Plug-in,Xtra,16co,16 Color,Plug-in Module,,,
16 Colours,APPL,coL6, ,Application, , ,
16 Marbles,APPL,1’•6, ,Application, , ,
16-Grays--Viewer,APPL,ddVV, ,Application, , ,
1756.g,TEXT,XCNQ,XConq,Text File,TXT, ,
18 Rows,TEMP,mFnt,MacFont,Temporary, , ,
19” RGB Display,Mntr,MnSw,Monitor Switch,  , , ,
1900- A Mixed-Up World,RDAT,RISK,Risk,  , , ,
1922 Browns,TEAM,MLSA, ,  , , ,
1942.D64,DISK,Frdo,Frodo,Disk File, , ,
1986 schedule,SKED,Pool,Pro Football,  , , ,
1989fc.state,DSST,dsfp,distant_suns,  , , ,
1992-93 NBA,DVSN,SdNk,Slam Dunk!,  , , ,
1993-10™Deluxe),RIUD,RIUA,Reference Update,  , , ,
1994 Club Data,DATA,PROT,Tide Calendar,Data File, , ,
1994 Data.PRO,DABS,PROT,Tide Calendar,  , , ,
1996 Car Set,Ncst,Nasc,Nascar Racing ,  , , ,
1996 Data.bike,TEXT,PROT,Tide Calendar,Text File,TXT, ,
1996 Physicians GenRx,APPL,RAMI, ,Application, , ,
1BLANK template,IcnR,IcIt,Fkey bar,  , , ,
1CRN.FIT,FIT ,JCJ ,FoldIt,  , , ,
1D Per Eq,APPL,ONEP,Application, ,,,
1D Periodic Eqns,APPL,ONEP, ,Application, , ,
1E.LFD,DATA,dRfD,Dark Forces ,Data File, , ,
1Intro3Pics.pak,HDAT,SODA,Hugo,  , , ,
1Office Large,APPL,BMUC,,Application/Dup, ,Dup,
1st Aid HFS,APPL,1AID, ,Application, , ,
1st Aid HFS—????,FAKE,1AID,1st Aid HFS,  , , ,
1st Aid HFS—Deleted File,UNDL,1AID,1st Aid HFS,  , , ,
